returns_binned,SMA_ratio_binned,MACD_hist_binned,RSI_binned,SO_diff_binned,Profit
3,0,3,2,2,0.5815625190735974
0,0,3,1,0,-1.4523863792420544
3,0,3,2,2,0.9676814079284668
1,0,3,2,2,-0.2904534339903675
1,0,2,2,1,-0.19365549087524414
1,0,2,2,2,0.0
2,0,2,2,2,0.38725137710560187
3,0,3,2,2,0.4845857620240368
0,0,3,2,1,-0.5813241004944958
0,0,2,2,0,-0.9675025939941406
0,0,2,1,1,-0.48291683197021484
1,0,2,0,2,0.0
3,0,2,1,3,0.9663701057434082
0,0,1,0,0,-2.3162364959717907
0,0,0,0,0,-3.5497546195983887
0,0,0,0,1,-2.0985007286070667
3,0,0,0,3,0.7620453834534802
0,0,0,0,2,-0.6668567657471813
2,0,0,0,1,0.19037723541259766
2,0,0,0,2,0.19055604934692383
0,0,0,0,0,-1.8068552017211914
0,0,0,0,1,-3.4995079040527344
3,0,0,0,3,1.3211965560913086
0,0,0,0,1,-1.0384321212769665
0,0,0,0,1,-1.6003251075743519
0,0,0,0,1,-2.063274383544811
3,0,0,0,3,2.157270908355602
2,0,0,0,3,0.18799304962158203
0,0,0,0,1,-0.9394288063048206
2,0,0,0,2,0.09387731552124023
0,0,0,0,0,-13.423502445221057
3,0,0,0,3,10.242104530334473
2,0,0,0,3,0.2799034118653454
0,0,0,0,0,-2.3273229599000134
0,0,0,0,1,-0.5568265914915882
2,0,0,0,2,0.09274482727039679
3,0,1,0,3,1.207590103149414
3,0,3,1,3,3.6411285400389515
3,0,3,1,3,0.656425952911488
0,0,3,0,0,-3.925323486328236
1,0,3,1,0,-0.37223100662220343
1,0,3,1,1,-0.18590688705444336
3,0,3,1,3,2.89076566696167
3,0,3,1,3,0.6551742553709827
0,0,3,1,0,-2.615392208099254
0,0,3,1,0,-2.6938915252685547
2,0,3,1,0,0.09268522262584344
0,0,2,1,0,-2.3106932640076794
3,0,2,1,2,1.2926459312440075
0,0,2,1,2,-0.5543828010560192
2,0,2,2,1,0.09226799011241571
1,0,2,1,2,0.0
